 Site,Datetime        ,Prediction,Prediction_text_en,Prediction_text_cy
30200,2014-09-01T08:30:00+0100,1,No water quality warning issued,Dim Rhybudd
30300,2014-09-01T08:30:00+0100,1,No water quality warning issued,Dim Rhybudd
30400,2014-09-01T08:30:00+0100,1,No water quality warning issued,Dim Rhybudd
30500,2014-09-01T08:30:00+0100,1,No water quality warning issued,Dim Rhybudd
32100,2014-09-01T08:30:00+0100,1,No water quality warning issued,Dim Rhybudd
32340,2014-09-01T08:30:00+0100,1,No water quality warning issued,Dim Rhybudd
33000,2014-09-01T08:30:00+0100,1,No water quality warning issued,Dim Rhybudd
33100,2014-09-01T08:30:00+0100,1,No water quality warning issued,Dim Rhybudd
33500,2014-09-01T08:30:00+0100,1,No water quality warning issued,Dim Rhybudd
33600,2014-09-01T08:30:00+0100,1,No water quality warning issued,Dim Rhybudd
34100,2014-09-01T08:30:00+0100,1,No water quality warning issued,Dim Rhybudd
34200,2014-09-01T08:30:00+0100,1,No water quality warning issued,Dim Rhybudd
34400,2014-09-01T08:30:00+0100,1,No water quality warning issued,Dim Rhybudd
34500,2014-09-01T08:30:00+0100,1,No water quality warning issued,Dim Rhybudd
34600,2014-09-01T08:30:00+0100,1,No water quality warning issued,Dim Rhybudd
34700,2014-09-01T08:30:00+0100,1,No water quality warning issued,Dim Rhybudd
34800,2014-09-01T08:30:00+0100,1,No water quality warning issued,Dim Rhybudd
35000,2014-09-01T08:30:00+0100,1,No water quality warning issued,Dim Rhybudd
35100,2014-09-01T08:30:00+0100,1,No water quality warning issued,Dim Rhybudd
35200,2014-09-01T08:30:00+0100,1,No water quality warning issued,Dim Rhybudd
35300,2014-09-01T08:30:00+0100,1,No water quality warning issued,Dim Rhybudd
35500,2014-09-01T08:30:00+0100,1,No water quality warning issued,Dim Rhybudd
35600,2014-09-01T08:30:00+0100,1,No water quality warning issued,Dim Rhybudd
35700,2014-09-01T08:30:00+0100,1,No water quality warning issued,Dim Rhybudd
35800,2014-09-01T08:30:00+0100,1,No water quality warning issued,Dim Rhybudd
36000,2014-09-01T08:30:00+0100,1,No water quality warning issued,Dim Rhybudd
38600,2014-09-01T08:30:00+0100,1,No water quality warning issued,Dim Rhybudd
38630,2014-09-01T08:30:00+0100,1,No water quality warning issued,Dim Rhybudd
38680,2014-09-01T08:30:00+0100,1,No water quality warning issued,Dim Rhybudd
38800,2014-09-01T08:30:00+0100,1,No water quality warning issued,Dim Rhybudd
39050,2014-09-01T08:30:00+0100,1,No water quality warning issued,Dim Rhybudd
39700,2014-09-01T08:30:00+0100,1,No water quality warning issued,Dim Rhybudd
39950,2014-09-01T08:30:00+0100,1,No water quality warning issued,Dim Rhybudd
40050,2014-09-01T08:30:00+0100,1,No water quality warning issued,Dim Rhybudd
40170,2014-09-01T08:30:00+0100,1,No water quality warning issued,Dim Rhybudd
40180,2014-09-01T08:30:00+0100,1,No water quality warning issued,Dim Rhybudd
40200,2014-09-01T08:30:00+0100,1,No water quality warning issued,Dim Rhybudd
40600,2014-09-01T08:30:00+0100,1,No water quality warning issued,Dim Rhybudd
40750,2014-09-01T08:30:00+0100,1,No water quality warning issued,Dim Rhybudd
41300,2014-09-01T08:30:00+0100,1,No water quality warning issued,Dim Rhybudd
41500,2014-09-01T08:30:00+0100,1,No water quality warning issued,Dim Rhybudd
41800,2014-09-01T08:30:00+0100,1,No water quality warning issued,Dim Rhybudd
41900,2014-09-01T08:30:00+0100,1,No water quality warning issued,Dim Rhybudd
42100,2014-09-01T08:30:00+0100,1,No water quality warning issued,Dim Rhybudd
42300,2014-09-01T08:30:00+0100,1,No water quality warning issued,Dim Rhybudd
42500,2014-09-01T08:30:00+0100,1,No water quality warning issued,Dim Rhybudd
42600,2014-09-01T08:30:00+0100,1,No water quality warning issued,Dim Rhybudd
42800,2014-09-01T08:30:00+0100,1,No water quality warning issued,Dim Rhybudd
43000,2014-09-01T08:30:00+0100,1,No water quality warning issued,Dim Rhybudd
43260,2014-09-01T08:30:00+0100,1,No water quality warning issued,Dim Rhybudd
43550,2014-09-01T08:30:00+0100,1,No water quality warning issued,Dim Rhybudd
44200,2014-09-01T08:30:00+0100,1,No water quality warning issued,Dim Rhybudd
44300,2014-09-01T08:30:00+0100,1,No water quality warning issued,Dim Rhybudd
44400,2014-09-01T08:30:00+0100,1,No water quality warning issued,Dim Rhybudd
44800,2014-09-01T08:30:00+0100,1,No water quality warning issued,Dim Rhybudd
45600,2014-09-01T08:30:00+0100,2,Risk of reduced water quality due to heavy rain,Ragwelir o ansawdd isel oherwydd rainfal trwm
45920,2014-09-01T08:30:00+0100,2,Risk of reduced water quality due to heavy rain,Ragwelir o ansawdd isel oherwydd rainfal trwm
46000,2014-09-01T08:30:00+0100,1,No water quality warning issued,Dim Rhybudd
46100,2014-09-01T08:30:00+0100,1,No water quality warning issued,Dim Rhybudd
46300,2014-09-01T08:30:00+0100,1,No water quality warning issued,Dim Rhybudd
